Reservoir,Site,DateTime,StartDepth_m,EndDepth_m,CollectionMethod,Taxon,Density_IndPerL,MeanLength_mm,MeanWeight_ug,Biomass_ugL,Flag_Length,Flag_Weight,Flag_Biomass
FCR,50,5/12/14,8.5,0,Tow,Diaptomus,0.22192632,0.685393258,1.679646427,0.372757751,0,0,0
FCR,50,5/12/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,5/12/14,8.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,5/12/14,8.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,5/12/14,8.5,0,Tow,Nauplii,5.492676431,NA,NA,NA,1,1,1
FCR,50,5/12/14,8.5,0,Tow,Total Rotifers,8.044829117,NA,NA,NA,1,1,1
FCR,50,5/19/14,4.5,0,Tow,Bosmina,0.524109015,0.1940596,0.254421561,0.133344634,0,0,0
FCR,50,5/19/14,4.5,0,Tow,Cyclopoids,3.668763103,0.3425746,0.362402423,1.329568639,0,0,0
FCR,50,5/19/14,4.5,0,Tow,D. ambigua,1.747030049,0.4029707,0.617595967,1.078958712,0,0,0
FCR,50,5/19/14,4.5,0,Tow,Diaptomus,0.262054507,0.858086667,2.114900768,0.554219279,0,0,0
FCR,50,5/19/14,4.5,0,Tow,Chydorus,0.174703005,0.366337,2.516223584,0.439591821,0,0,0
FCR,50,5/19/14,4.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,5/19/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,5/19/14,4.5,0,Tow,Nauplii,7.337526205,NA,NA,NA,1,1,1
FCR,50,5/19/14,4.5,0,Tow,Total Rotifers,20.61495458,NA,NA,NA,1,1,1
FCR,50,5/19/14,8.5,0,Tow,Bosmina,0.22192632,0.207921,0.291218942,0.064629148,0,0,0
FCR,50,5/19/14,8.5,0,Tow,Chydorus,0.22192632,0.2425745,0.636089492,0.141165001,0,0,0
FCR,50,5/19/14,8.5,0,Tow,D. ambigua,1.442521083,0.4227727,0.715808204,1.032568425,0,0,0
FCR,50,5/19/14,8.5,0,Tow,Diaptomus,0.22192632,0.811882,1.881803328,0.417621688,0,0,0
FCR,50,5/19/14,8.5,0,Tow,Cyclopoids,3.495339547,0.5217827,2.233162823,7.805662332,0,0,0
FCR,50,5/19/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,5/19/14,8.5,0,Tow,Nauplii,9.37638704,NA,NA,NA,1,1,1
FCR,50,5/19/14,8.5,0,Tow,Total Rotifers,133.8215712,NA,NA,NA,1,1,1
FCR,50,6/2/14,4.5,0,Tow,Bosmina,2.781809386,0.1811883,0.212692544,0.591670116,0,0,0
FCR,50,6/2/14,4.5,0,Tow,D. ambigua,5.321722303,0.3930697,0.578882391,3.08065133,0,0,0
FCR,50,6/2/14,4.5,0,Tow,Chydorus,0.241896468,0.287129,1.149601828,0.278084622,0,0,0
FCR,50,6/2/14,4.5,0,Tow,Cyclopoids,5.926463474,0.4683173,1.322560544,7.838106758,0,0,0
FCR,50,6/2/14,4.5,0,Tow,Diaptomus,0.967585873,0.79455525,1.797682974,1.739412651,0,0,0
FCR,50,6/2/14,4.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,6/2/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,6/2/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,6/2/14,4.5,0,Tow,Nauplii,12.21577165,NA,NA,NA,1,1,1
FCR,50,6/2/14,4.5,0,Tow,Total Rotifers,207.0230608,NA,NA,NA,1,1,1
FCR,50,6/2/14,8.5,0,Tow,Bosmina,4.353170132,0.2148517,0.358219808,1.559391767,0,0,0
FCR,50,6/2/14,8.5,0,Tow,D. ambigua,5.697531496,0.3722776,0.552695295,3.148998851,0,0,0
FCR,50,6/2/14,8.5,0,Tow,Chydorus,0.256068831,0.2623765,0.815270617,0.208765394,0,0,0
FCR,50,6/2/14,8.5,0,Tow,Cyclopoids,7.233944484,0.4960401,1.408038089,10.18566936,0,0,0
FCR,50,6/2/14,8.5,0,Tow,Diaptomus,0.768206494,0.732674,1.466461037,1.126544891,0,0,0
FCR,50,6/2/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,6/2/14,8.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,6/2/14,8.5,0,Tow,Nauplii,7.105910069,NA,NA,NA,1,1,1
FCR,50,6/2/14,8.5,0,Tow,Total Rotifers,244.6737683,NA,NA,NA,1,1,1
FCR,50,6/9/14,4.5,0,Tow,Bosmina,3.023705854,0.1990101,0.268855172,0.812938958,0,0,0
FCR,50,6/9/14,4.5,0,Tow,D. ambigua,4.475084664,0.3396043,0.409465329,1.832392014,0,0,0
FCR,50,6/9/14,4.5,0,Tow,Diaphanosoma,0.120948234,0.49505,0.428566098,0.051834313,0,0,0
FCR,50,6/9/14,4.5,0,Tow,Cyclopoids,11.36913401,0.3970301,0.545905187,6.206469228,0,0,0
FCR,50,6/9/14,4.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,6/9/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,6/9/14,4.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,6/9/14,4.5,0,Tow,Diaptomus,0,NA,NA,NA,1,1,1
FCR,50,6/9/14,4.5,0,Tow,Nauplii,20.56119981,NA,NA,NA,1,1,1
FCR,50,6/9/14,4.5,0,Tow,Total Rotifers,131.0272537,NA,NA,NA,1,1,1
FCR,50,6/9/14,8.5,0,Tow,Bosmina,5.31342825,0.2297032,0.391466374,2.080028489,0,0,0
FCR,50,6/9/14,8.5,0,Tow,D. ambigua,4.865307795,0.4049509,0.644407362,3.13524016,0,0,0
FCR,50,6/9/14,8.5,0,Tow,Chydorus,0.128034416,0.267327,0.821706162,0.105206668,0,0,0
FCR,50,6/9/14,8.5,0,Tow,Cyclopoids,7.746082147,0.4940599,1.173463511,9.08974475,0,0,0
FCR,50,6/9/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,6/9/14,8.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,6/9/14,8.5,0,Tow,Diaphanosoma,0.064017208,NA,NA,NA,1,1,1
FCR,50,6/9/14,8.5,0,Tow,Diaptomus,0,NA,NA,NA,1,1,1
FCR,50,6/9/14,8.5,0,Tow,Nauplii,12.67540715,NA,NA,NA,1,1,1
FCR,50,6/9/14,8.5,0,Tow,Total Rotifers,115.4016866,NA,NA,NA,1,1,1
FCR,50,6/23/14,4.5,0,Tow,Bosmina,17.7148847,0.2000002,0.270739639,4.796121493,0,0,0
FCR,50,6/23/14,4.5,0,Tow,Diaptomus,0.104821803,0.39604,0.292716547,0.030683076,0,0,0
FCR,50,6/23/14,4.5,0,Tow,Diaphanosoma,1.886792453,0.450786706,0.415199055,0.783394443,0,0,0
FCR,50,6/23/14,4.5,0,Tow,D. ambigua,10.37735849,0.3811885,0.536601182,5.568502836,0,0,0
FCR,50,6/23/14,4.5,0,Tow,Cyclopoids,6.184486373,0.5267332,2.650240443,16.3903759,0,0,0
FCR,50,6/23/14,4.5,0,Tow,Ceriodaphnia,0.838574423,NA,NA,NA,1,1,1
FCR,50,6/23/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,6/23/14,4.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,6/23/14,4.5,0,Tow,Nauplii,20.23060797,NA,NA,NA,1,1,1
FCR,50,6/23/14,4.5,0,Tow,Total Rotifers,6.498951782,NA,NA,NA,1,1,1
FCR,50,6/23/14,8.5,0,Tow,Diaphanosoma,0.721260542,0.376238,0.220722843,0.159198677,0,0,0
FCR,50,6/23/14,8.5,0,Tow,Bosmina,6.102973813,0.2099012,0.309948219,1.891605861,0,0,0
FCR,50,6/23/14,8.5,0,Tow,D. ambigua,6.047492233,0.4534658,0.820230861,4.960339762,0,0,0
FCR,50,6/23/14,8.5,0,Tow,Diaptomus,0.16644474,0.772278,1.584657734,0.263757945,0,0,0
FCR,50,6/23/14,8.5,0,Tow,Cyclopoids,2.885042166,0.5237629,1.897267178,5.473695809,0,0,0
FCR,50,6/23/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,6/23/14,8.5,0,Tow,Chaoborus,0.00665779,NA,NA,NA,1,1,1
FCR,50,6/23/14,8.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,6/23/14,8.5,0,Tow,Nauplii,5.548158012,NA,NA,NA,1,1,1
FCR,50,6/23/14,8.5,0,Tow,Total Rotifers,4.216600089,NA,NA,NA,1,1,1
FCR,50,6/30/14,8.5,0,Tow,Bosmina,25.79893475,0.2356438,NA,NA,0,1,1
FCR,50,6/30/14,8.5,0,Tow,Cyclopoids,4.87445311,0.4861391,NA,NA,0,1,1
FCR,50,6/30/14,8.5,0,Tow,Diaphanosoma,9.154460719,0.4861391,NA,NA,0,1,1
FCR,50,6/30/14,8.5,0,Tow,D. ambigua,3.210005707,0.554456,NA,NA,0,1,1
FCR,50,6/30/14,8.5,0,Tow,Diaptomus,0.713334601,0.742575,NA,NA,0,1,1
FCR,50,6/30/14,8.5,0,Tow,Ceriodaphnia,0.1188891,NA,NA,NA,1,1,1
FCR,50,6/30/14,8.5,0,Tow,Chaoborus,0.001664447,NA,NA,NA,1,1,1
FCR,50,6/30/14,8.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,6/30/14,8.5,0,Tow,Nauplii,4.042229408,NA,NA,NA,1,1,1
FCR,50,6/30/14,8.5,0,Tow,Total Rotifers,17.35780864,NA,NA,NA,1,1,1
FCR,50,7/7/14,4.5,0,Tow,Chydorus,0.104821803,0.178218,0.177606855,0.018617071,0,0,0
FCR,50,7/7/14,4.5,0,Tow,Bosmina,7.442348008,0.188119,0.227322094,1.691810136,0,0,0
FCR,50,7/7/14,4.5,0,Tow,Ceriodaphnia,3.144654088,0.3227726,0.373907628,1.175810152,0,0,0
FCR,50,7/7/14,4.5,0,Tow,Diaphanosoma,16.24737945,0.5257431,0.582405269,9.462559401,0,0,0
FCR,50,7/7/14,4.5,0,Tow,Diaptomus,3.668763103,0.5356441,0.860662613,3.157567237,0,0,0
FCR,50,7/7/14,4.5,0,Tow,Cyclopoids,3.878406709,0.4069311,1.129250584,4.37969304,0,0,0
FCR,50,7/7/14,4.5,0,Tow,Chaoborus,0.003144654,NA,NA,NA,1,1,1
FCR,50,7/7/14,4.5,0,Tow,D. ambigua,0,NA,NA,NA,1,1,1
FCR,50,7/7/14,4.5,0,Tow,Nauplii,12.36897275,NA,NA,NA,1,1,1
FCR,50,7/7/14,4.5,0,Tow,Total Rotifers,25.78616352,NA,NA,NA,1,1,1
FCR,50,7/7/14,8.5,0,Tow,Bosmina,17.24972764,0.2247527,0.360471798,6.21804034,0,0,0
FCR,50,7/7/14,8.5,0,Tow,Diaptomus,0.907880402,0.477048182,0.506435967,0.45978329,0,0,0
FCR,50,7/7/14,8.5,0,Tow,Diaphanosoma,2.874954606,0.5118817,0.531960083,1.529361092,0,0,0
FCR,50,7/7/14,8.5,0,Tow,Ceriodaphnia,1.059193802,0.408546526,0.759497965,0.804455537,0,0,0
FCR,50,7/7/14,8.5,0,Tow,D. ambigua,0.378283501,0.408546526,0.759497965,0.287305549,0,0,0
FCR,50,7/7/14,8.5,0,Tow,Cyclopoids,1.664447403,0.5405946,1.617007691,2.691424252,0,0,0
FCR,50,7/7/14,8.5,0,Tow,Chaoborus,0.011651132,NA,NA,NA,1,1,1
FCR,50,7/7/14,8.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,7/7/14,8.5,0,Tow,Nauplii,3.707178308,NA,NA,NA,1,1,1
FCR,50,7/7/14,8.5,0,Tow,Total Rotifers,12.55901223,NA,NA,NA,1,1,1
FCR,50,8/4/14,4.5,0,Tow,Chydorus,0.104821803,0.158416,0.115736182,0.012131675,0,0,0
FCR,50,8/4/14,4.5,0,Tow,Bosmina,0.419287212,0.2029705,0.290547791,0.121822973,0,0,0
FCR,50,8/4/14,4.5,0,Tow,Ceriodaphnia,0.104821803,0.376238,0.499339838,0.052341702,0,0,0
FCR,50,8/4/14,4.5,0,Tow,D. ambigua,0.104821803,0.376238,0.499339838,0.052341702,0,0,0
FCR,50,8/4/14,4.5,0,Tow,Diaphanosoma,4.716981132,0.534654,0.649200684,3.062267379,0,0,0
FCR,50,8/4/14,4.5,0,Tow,Diaptomus,0.943396226,0.683169,1.224300791,1.155000746,0,0,0
FCR,50,8/4/14,4.5,0,Tow,Cyclopoids,5.241090147,0.5237629,1.96417723,10.29442993,0,0,0
FCR,50,8/4/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,8/4/14,4.5,0,Tow,Nauplii,20.54507338,NA,NA,NA,1,1,1
FCR,50,8/4/14,4.5,0,Tow,Total Rotifers,38.99371069,NA,NA,NA,1,1,1
FCR,50,8/4/14,7.5,0,Tow,Diaphanosoma,1.446268,0.4336638,0.339254871,0.490653464,0,0,0
FCR,50,8/4/14,7.5,0,Tow,Bosmina,1.131861913,0.282728556,0.629884977,0.712942815,0,0,0
FCR,50,8/4/14,7.5,0,Tow,Diaptomus,0.754574609,0.780528833,1.655519183,1.24921274,0,0,0
FCR,50,8/4/14,7.5,0,Tow,Ceriodaphnia,0.062881217,0.636964333,1.798279994,0.113078035,0,0,0
FCR,50,8/4/14,7.5,0,Tow,D. ambigua,0.314406087,0.636964333,1.798279994,0.565390176,0,0,0
FCR,50,8/4/14,7.5,0,Tow,Cyclopoids,2.075080174,0.5900996,2.50971148,5.207852533,0,0,0
FCR,50,8/4/14,7.5,0,Tow,Chaoborus,0.015091492,NA,NA,NA,1,1,1
FCR,50,8/4/14,7.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,8/4/14,7.5,0,Tow,Nauplii,9.243538955,NA,NA,NA,1,1,1
FCR,50,8/4/14,7.5,0,Tow,Total Rotifers,12.57624348,NA,NA,NA,1,1,1
FCR,50,8/21/14,4.5,0,Tow,Bosmina,1.257861635,0.206270833,0.303881718,0.382241155,0,0,0
FCR,50,8/21/14,4.5,0,Tow,Diaphanosoma,7.1278826,0.4386143,0.33348324,2.377029386,0,0,0
FCR,50,8/21/14,4.5,0,Tow,D. ambigua,0.314465409,0.49505,0.945525535,0.297335074,0,0,0
FCR,50,8/21/14,4.5,0,Tow,Diaptomus,1.886792453,0.740374778,1.687977795,3.184863765,0,0,0
FCR,50,8/21/14,4.5,0,Tow,Cyclopoids,7.1278826,0.6396046,3.319504426,23.66103784,0,0,0
FCR,50,8/21/14,4.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,8/21/14,4.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,8/21/14,4.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,8/21/14,4.5,0,Tow,Nauplii,11.42557652,NA,NA,NA,1,1,1
FCR,50,8/21/14,4.5,0,Tow,Total Rotifers,23.58490566,NA,NA,NA,1,1,1
FCR,50,8/21/14,8.5,0,Tow,Diaphanosoma,1.220594763,0.4168321,0.290188041,0.354202002,0,0,0
FCR,50,8/21/14,8.5,0,Tow,Bosmina,0.721260542,0.220868462,0.348219122,0.251156712,0,0,0
FCR,50,8/21/14,8.5,0,Tow,D. ambigua,0.22192632,0.415842,0.630638217,0.139955219,0,0,0
FCR,50,8/21/14,8.5,0,Tow,Diaptomus,0.332889481,0.765677333,1.794671414,0.597427235,0,0,0
FCR,50,8/21/14,8.5,0,Tow,Cyclopoids,4.494007989,0.613862,2.761277538,12.40920332,0,0,0
FCR,50,8/21/14,8.5,0,Tow,Ceriodaphnia,0,NA,NA,NA,1,1,1
FCR,50,8/21/14,8.5,0,Tow,Chaoborus,0,NA,NA,NA,1,1,1
FCR,50,8/21/14,8.5,0,Tow,Chydorus,0,NA,NA,NA,1,1,1
FCR,50,8/21/14,8.5,0,Tow,Nauplii,6.102973813,NA,NA,NA,1,1,1
FCR,50,8/21/14,8.5,0,Tow,Total Rotifers,21.30492676,NA,NA,NA,1,1,1
