Reservoir, Site, Depth, RunDate, DataStream, TIMESTAMP_start, TIMESTAMP_end, start_parameter, end_parameter ,flag, update_value, notes
BVR, 50, 11, NA, Chem, 2021-03-08 10:58:00 EST, 2021-03-08 10:58:00 EST, TP_ugL, NA, 9, NA, suspect sample
BVR, 50, 11, NA, Chem, 2021-08-23 10:39:00 EST, 2021-08-23 10:39:00 EST, TP_ugL, NA, 9, NA, suspect sample
CCR, 50, 21, NA, Chem, 2021-08-19 12:00:00 EST, 2021-08-19 12:00:00 EST, NO3NO2_ugL, NA, 9, NA, suspect sample
CCR, 50, 21, NA, Chem, 2021-08-19 12:00:00 EST, 2021-08-19 12:00:00 EST, NH4_ugL, NA, 9, NA, suspect sample
CCR, 50, 21, NA, Chem, 2021-08-19 12:00:00 EST, 2021-08-19 12:00:00 EST, SRP_ugL, NA, 9, NA, suspect sample
CCR, 50, 20, NA, Chem, 2021-09-23 13:55:00 EST, 2021-09-23 13:55:00 EST, TN_ugL, NA, 9, NA, suspect sample
CCR, 50, 0.1, NA, Chem, 2021-11-19 12:11:00 EST, 2021-11-19 12:11:00 EST, TN_ugL, NA, 9, NA, suspect sample
FCR, 50, 3.8, NA, Chem, 2021-07-12 09:40:00 EST, 2021-11-19 12:11:00 EST, TP_ugL, NA, 9, NA, suspect sample
BVR, 50, 11, NA, Chem, 2019-06-06 12:00:00 EST, 2019-06-06 12:00:00 EST, TP_ugL, NA, 9, NA, suspect sample
BVR, 50, 3, NA, Chem, 2019-05-23 12:00:00 EST, 2019-05-23 12:00:00 EST, NO3NO2_ugL, NA, 5, 30.5, demonic intrusion
BVR, 50, 0.1, NA, Chem, 2017-07-20 00:00:00 EST, 2017-07-20 00:00:00 EST, TP_ugL, NA, 9, 247.0, suspect sample
BVR, 50, 0.1, NA, Chem, 2017-07-20 00:00:00 EST, 2017-07-20 00:00:00 EST, TN_ugL, NA, 9, 3680, suspect sample
BVR, 50, 0.1, NA, Chem, 2014-06-04 12:00:00 EST, 2014-06-04 12:00:00 EST, SRP_ugL, NA, 5, NA, demonic intrusion
BVR, 50, 0.1, NA, Chem, 2014-04-30 12:00:00 EST, 2014-04-30 12:00:00 EST, SRP_ugL, NA, 5, NA, demonic intrusion



