"com_date","miss","field_date","lab_date","upper_date","field_vial_number","lab_vial_number"
2025-06-26,"no_field_obs",NA,2025-06-26,NA,NA,"372"
2025-06-26,"no_field_obs",NA,2025-06-26,NA,NA,"368"
2025-06-26,"no_field_obs",NA,2025-06-26,NA,NA,"384"
2025-06-26,"no_field_obs",NA,2025-06-26,NA,NA,"130"
2025-06-26,"no_field_obs",NA,2025-06-26,NA,NA,"359"
2025-06-26,"no_field_obs",NA,2025-06-26,NA,NA,"273"
2025-06-26,"no_field_obs",NA,2025-06-26,NA,NA,"73"
2025-06-27,"no_field_obs",NA,2025-06-27,NA,NA,"203 rerun"
2025-06-27,"no_field_obs",NA,2025-06-27,NA,NA,"372 rerun"
2025-07-03,"no_lab_obs",2025-07-03,NA,2025-07-07,318,NA
2025-07-03,"no_lab_obs",2025-07-03,NA,2025-07-07,278,NA
2025-07-07,"no_lab_obs",2025-07-07,NA,2025-07-11,26,NA
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"373"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"278"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"217"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"269"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"311"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"191"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"318"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"213"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"274"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"287"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"123"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"181"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"20"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"370"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"229"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"378"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"140"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"173"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"185"
2025-07-08,"no_field_obs",NA,2025-07-08,NA,NA,"27"
2025-07-09,"no_field_obs",NA,2025-07-09,NA,NA,"274"
2025-07-09,"no_field_obs",NA,2025-07-09,NA,NA,"287"
2025-07-09,"no_field_obs",NA,2025-07-09,NA,NA,"123"
2025-07-09,"no_field_obs",NA,2025-07-09,NA,NA,"20"
2025-07-09,"no_field_obs",NA,2025-07-09,NA,NA,"370"
2025-07-09,"no_field_obs",NA,2025-07-09,NA,NA,"378"
2025-07-09,"no_field_obs",NA,2025-07-09,NA,NA,"140"
2025-07-10,"no_lab_obs",2025-07-10,NA,2025-07-14,294,NA
2025-07-10,"no_lab_obs",2025-07-10,NA,2025-07-14,281,NA
2025-07-10,"no_lab_obs",2025-07-10,NA,2025-07-14,282,NA
2025-07-10,"no_lab_obs",2025-07-10,NA,2025-07-14,322,NA
2025-07-10,"no_lab_obs",2025-07-10,NA,2025-07-14,15,NA
2025-07-10,"no_lab_obs",2025-07-10,NA,2025-07-14,76,NA
2025-07-10,"no_lab_obs",2025-07-10,NA,2025-07-14,86,NA
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"368.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"287.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"392.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"120.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"229.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"273.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"132.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"335.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"308.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"208.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"299.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"150.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"359.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"152.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"74.0"
2025-07-31,"no_field_obs",NA,2025-07-31,NA,NA,"405.0"
2025-08-07,"no_field_obs",NA,2025-08-07,NA,NA,"33"
2025-08-07,"no_lab_obs",2025-08-07,NA,2025-08-11,706,NA
2025-08-13,"no_field_obs",NA,2025-08-13,NA,NA,"384"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"279"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"414"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"328"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"267"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"297"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"410"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"10"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"74"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"308"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"172"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"78"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"73"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"392"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"274"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"122"
2025-09-04,"no_field_obs",NA,2025-09-04,NA,NA,"185"
2025-09-05,"no_field_obs",NA,2025-09-05,NA,NA,"010 rerun"
2025-09-05,"no_field_obs",NA,2025-09-05,NA,NA,"074 rerun"
2025-09-05,"no_field_obs",NA,2025-09-05,NA,NA,"185 rerun"
2025-09-17,"no_field_obs",NA,2025-09-17,NA,NA,"80"
2025-09-17,"no_field_obs",NA,2025-09-17,NA,NA,"115"
2025-09-18,"no_field_obs",NA,2025-09-18,NA,NA,"280"
2025-09-18,"no_field_obs",NA,2025-09-18,NA,NA,"175"
2025-09-18,"no_field_obs",NA,2025-09-18,NA,NA,"71"
2025-09-18,"no_field_obs",NA,2025-09-18,NA,NA,"323"
2025-09-18,"no_field_obs",NA,2025-09-18,NA,NA,"199"
2025-09-23,"no_field_obs",NA,2025-09-23,NA,NA,"34"
2025-09-29,"no_lab_obs",2025-09-29,NA,2025-10-03,365,NA
2025-09-29,"no_lab_obs",2025-09-29,NA,2025-10-03,328,NA
2025-09-29,"no_lab_obs",2025-09-29,NA,2025-10-03,327,NA
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"76"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"30"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"122"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"185"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"311"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"273"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"194"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"105"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"92"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"384"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"85"
2025-09-30,"no_field_obs",NA,2025-09-30,NA,NA,"297"
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,378,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,193,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,168,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,365,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,177,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,10,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,245,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,111,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,329,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,181,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,268,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,351,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,321,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,336,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,92,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,229,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,203,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,249,NA
2025-10-27,"no_lab_obs",2025-10-27,NA,2025-10-31,71,NA
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"27"
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"326"
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"24"
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"33"
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"304"
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"313"
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"216"
2025-10-28,"no_field_obs",NA,2025-10-28,NA,NA,"358"
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,292,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,80,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,281,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,127,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,241,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,132,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,374,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,78,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,68,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,107,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,356,NA
2025-10-28,"no_lab_obs",2025-10-28,NA,2025-11-01,185,NA
2025-10-29,"no_field_obs",NA,2025-10-29,NA,NA,"359"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"287"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"334"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"175"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"172"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"316"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"76"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"414"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"311"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"150"
2025-11-11,"no_field_obs",NA,2025-11-11,NA,NA,"87"
2025-12-01,"no_lab_obs",2025-12-01,NA,2025-12-05,153,NA
