"Reservoir","Site","Depth_m","field_date","lab_date","field_vial_number","notes"
"FCR",50,5,2024-09-09,2024-09-10,285,"Integrated CO2 on top of an interfering peak- not entirely accurate. CH4 is ok. Do not use CO2. Use CH4"
"FCR",50,5,2024-09-09,2024-09-11,285,"Re-sample of 285- no interference, but different headspace pressure. Use CO2. Do not use CH4"
"FCR",50,1.6,2024-09-17,2024-09-18,302,"Do not use CO2. Use CH4."
"FCR",50,8,2024-09-17,2024-09-18,274,"Do not use CO2. Use CH4."
"FCR",50,1.6,2024-09-17,2024-09-19,302,"Use CO2. Do not use CH4."
"FCR",50,8,2024-09-17,2024-09-19,274,"Use CO2. Do not use CH4."
"FCR",50,9,2024-09-23,2024-09-24,318,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"BVR",50,0.1,2024-09-23,2024-09-24,191,"Interference with CO2- don't use. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,9,2024-09-23,2024-09-24,321,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"FCR",100,0.1,2024-09-23,2024-09-24,400,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,3.8,2024-09-23,2024-09-24,385,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"BVR",50,9,2024-09-23,2024-09-24,147,"Interference with CO2- don't use. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,0.1,2024-09-23,2024-09-24,405,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"BVR",50,3,2024-09-23,2024-09-24,151,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,9,2024-09-23,2024-09-25,318,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,0.1,2024-09-23,2024-09-25,191,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,9,2024-09-23,2024-09-25,321,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",100,0.1,2024-09-23,2024-09-25,400,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,3.8,2024-09-23,2024-09-25,385,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,6,2024-09-23,2024-09-25,208,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,3.8,2024-09-23,2024-09-25,44,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,9,2024-09-23,2024-09-25,147,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,0.1,2024-09-23,2024-09-25,405,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,3,2024-09-23,2024-09-25,151,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,8,2024-10-07,2024-10-08,123,"Interference with CO2 peak- attempted to estimate true peak area in column AI. CH4 is ok. Do not use CO2. Use CH4"
"FCR",1.1,0.1,2024-10-07,2024-10-08,159,"Integrated CO2 on top of interfering peak, but probably ok."
"FCR",50,1.6,2024-10-07,2024-10-08,197,"Interference with CO2 peak. CH4 is ok. Do not use CO2. Use CH4"
"BVR",50,3,2024-10-07,2024-10-08,186,"Lost water during headspace creation- tried to eyeball 2mL headspace."
"FCR",50,8,2024-10-07,2024-10-09,123,"No interference, but different headspace pressure. Use CO2. Do not use CH4"
"FCR",50,1.6,2024-10-07,2024-10-09,197,"No interference, but different headspace pressure. Use CO2. Do not use CH4"
"FCR",50,1.6,2024-10-15,2024-10-16,119,"Interference with CO2- tried to salvage. CH4 is ok. Do not use CO2. Use CH4."
"FCR",1.1,0.1,2024-10-15,2024-10-16,221,"Interference with CO2- tried to estimate full peak area in column AJ. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,1.6,2024-10-15,2024-10-17,119,"No interference but different headspace pressure. Use CO2. Do not use CH4."
"FCR",1.1,0.1,2024-10-15,2024-10-17,221,"No interference but different headspace pressure. Use CO2. Do not use CH4."
"FCR",100,0.1,2024-11-19,2024-11-20,147,"large air bubble in sample"
"FCR",50,5,2024-12-03,2024-12-04,177,"CO2 is bad- peak interference. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,8,2024-12-03,2024-12-04,215,"Very end of CO2 peak was cut off. If dup's don't match, discard this one."
"FCR",50,3.8,2024-12-03,2024-12-04,191,"CO2 is bad- peak interference. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,1.6,2024-12-03,2024-12-04,119,"CO2 is bad- peak interference. CH4 is ok. Do not use CO2. Use CH4."
"FCR",1.1,0.1,2024-12-03,2024-12-04,123,"large bubble in sample"
"FCR",50,5,2024-12-03,2024-12-05,177,"reinjection- different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,3.8,2024-12-03,2024-12-05,191,"reinjection- different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,1.6,2024-12-03,2024-12-05,119,"reinjection- different headspace pressure. Use CO2. Do not use CH4."
"FCR",1.1,0.1,2025-01-27,2025-01-28,68,"Interference with CO2- CH4 is okay. Do not use CO2. Use CH4."
"FCR",1.1,0.1,2025-01-27,2025-01-29,68,"Reinjection. Still some interference with CO2, but potentially useable. Use CO2. Do not use CH4."
"FCR",100,0.1,2025-01-27,2025-01-29,384,"Bad reinjection- don't use any of it."
"FCR",50,3.8,2025-02-24,2025-02-25,334,"Had moisture peak, but looks like it avoided 99% of the CO2 peak. Should be ok."
"BVR",50,6,2025-02-24,2025-02-25,321,"Sloppy headspace preparation, but tried to correct. If dups don't match this might be the problem."
"FCR",100,0.1,2025-03-10,2025-03-11,217,"Not fully crimped- lost water and had to estimate correct headspace size. If dups don't match, discard this one."
"FCR",1.1,0.1,2025-03-10,2025-03-12,197,"Technically a reinjection. If dups don't match, discard this one."
"FCR",50,1.6,2025-03-24,2025-03-25,241,"Interference with CO2. Do not use CO2. Use CH4."
"BVR",50,0.1,2025-03-24,2025-03-25,66,"Interference with CO2. Do not use CO2. Use CH4."
"FCR",50,1.6,2025-03-24,2025-03-25,288,"Interference with CO2. Do not use CO2. Use CH4."
"FCR",1.1,0.1,2025-03-24,2025-03-25,62,"Interference with CO2. Do not use CO2. Use CH4."
"BVR",50,6,2025-03-24,2025-03-26,303,"Reinjection with different headspace conditions. Use CO2. Do not use CH4."
"FCR",50,1.6,2025-03-24,2025-03-26,241,"Reinjection with different headspace conditions. Use CO2. Do not use CH4."
"BVR",50,0.1,2025-03-24,2025-03-26,66,"Reinjection with different headspace conditions. Use CO2. Do not use CH4."
"FCR",50,1.6,2025-03-24,2025-03-26,288,"Reinjection with different headspace conditions. Use CO2. Do not use CH4."
"FCR",1.1,0.1,2025-03-24,2025-03-26,62,"Reinjection but CO2 is still bad. Do not use CO2. Do not use CH4."
"FCR",50,9,2025-04-07,2025-04-09,2,"a"
"BVR",50,3,2025-04-07,2025-04-09,119,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,5,2025-04-14,2025-04-16,298,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,0.1,2025-04-14,2025-04-16,33,"Re-reinjection. Use CO2. Do not use CH4."
"FCR",50,0.1,2025-04-28,2025-04-30,385,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,6,2025-05-05,2025-05-06,27,"CO2 interference. Do not use CO2. Use CH4."
"BVR",50,3,2025-05-05,2025-05-06,128,"air bubble in vial"
"FCR",50,8,2025-05-05,2025-05-06,215,"CO2 interference. Do not use CO2. Use CH4."
"BVR",50,7,2025-05-05,2025-05-06,269,"CO2 interference. Do not use CO2. Use CH4."
"FCR",50,1.6,2025-05-05,2025-05-07,49,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,0.1,2025-05-05,2025-05-07,257,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,6,2025-05-05,2025-05-07,27,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,8,2025-05-05,2025-05-07,215,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,7,2025-05-05,2025-05-07,269,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,6,2025-05-12,2025-05-13,293,"Leaked while creating headspace. Eyeballed correct gas volume."
"FCR",1.1,0.1,2025-05-12,2025-05-14,74,"Reinjection. Use CO2. Do not use CH4."
"FCR",1.1,0.1,2025-05-12,2025-05-14,80,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,9,2025-05-12,2025-05-14,180,"Re-reinjection. Use CO2. Do not use CH4."
"FCR",50,6.2,2025-05-19,2025-05-20,88,"Bubble in sample"
"BVR",50,3,2025-05-19,2025-05-21,414,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,0.1,2025-05-19,2025-05-21,340,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,8,2025-05-19,2025-05-21,299,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,7,2025-05-26,2025-05-27,72,"CO2 interference. Do not use CO2. Use CH4."
"FCR",50,5,2025-05-26,2025-05-27,140,"CO2 interference. Do not use CO2. Use CH4."
"FCR",1.1,0.1,2025-06-02,2025-06-03,171,"CO2 interference. Do not use CO2. Use CH4."
"FCR",100,0.1,2025-06-02,2025-06-03,177,"small bubble… and small rock!"
"FCR",1.1,0.1,2025-06-02,2025-06-03,26,"small bubble"
"FCR",200,0.1,2025-06-09,2025-06-10,313,"CO2 interference. Do not use CO2. Use CH4."
"BVR",50,7,2025-06-09,2025-06-10,326,"CO2 interference. Do not use CO2. Use CH4."
"FCR",200,0.1,2025-06-09,2025-06-11,313,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,7,2025-06-09,2025-06-11,326,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,1.6,2025-06-16,2025-06-18,269,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,3,2025-06-16,2025-06-18,88,"Reinjection. Use CO2. Do not use CH4."
"FCR",1.1,0.1,2025-06-23,2025-06-24,307,"Not fully capped; big air bubble. If reps don't match, discard this one."
"FCR",50,5,2025-06-23,2025-06-24,253,"CO2 interference. Do not use CO2. Use CH4."
"FCR",50,0.1,2025-06-23,2025-06-25,304,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,6.2,2025-06-23,2025-06-25,305,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,5,2025-06-23,2025-06-25,253,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,3,2025-06-30,2025-07-01,21,"Some CO2 interference. If dups don't match, discard this one."
"FCR",100,0.1,2025-07-07,2025-07-09,240,"not well crimped- bubble in vial"
"BVR",50,6,2025-07-07,2025-07-09,122,"Reinjection. Use CO2. Do not use CH4."
"FCR",100,0.1,2025-07-07,2025-07-09,10,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,6,2025-07-07,2025-07-09,355,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,5,2025-07-07,2025-07-09,362,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,3.8,2025-07-07,2025-07-09,94,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,8,2025-07-14,2025-07-15,88,"CO2 interference. Do not use CO2. Use CH4."
"BVR",50,3,2025-07-14,2025-07-16,292,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,8,2025-07-14,2025-07-16,88,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,6,2025-07-14,2025-07-16,12,"Reinjection. Use CO2. Do not use CH4. Some interference still- if dups don't match exclude this one."
"FCR",50,6.2,2025-07-14,2025-07-16,291,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,8,2025-07-21,2025-07-22,270,"Syringe sample- not air tight. Discard if numbers don't make sense."
"BVR",50,3,2025-07-21,2025-07-22,57,"Syringe sample- not air tight. Discard if numbers don't make sense."
"FCR",50,3.8,2025-07-21,2025-07-22,38,"Syringe sample- not air tight. Discard if numbers don't make sense."
"BVR",50,6,2025-07-21,2025-07-22,327,"Syringe sample- not air tight. Discard if numbers don't make sense."
"BVR",50,0.1,2025-07-21,2025-07-22,268,"Syringe sample- not air tight. Discard if numbers don't make sense."
"FCR",50,1.6,2025-07-21,2025-07-22,175,"Syringe sample- not air tight. Discard if numbers don't make sense."
"FCR",50,9,2025-07-21,2025-07-22,257,"Syringe sample- not air tight. Discard if numbers don't make sense."
"FCR",50,0.1,2025-07-21,2025-07-22,147,"Syringe sample- not air tight. Discard if numbers don't make sense."
"FCR",1.1,0.1,2025-07-28,2025-07-30,73,"Reinjection. Use CO2. Do not use CH4."
"BVR",50,6,2025-07-28,2025-07-30,358,"Rerun after error. Use CO2. Use CH4."
"FCR",50,8,2025-07-28,2025-07-31,328,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,6.2,2025-07-28,2025-07-31,247,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,0.1,2025-08-11,2025-08-13,336,"Reinjection. Use CO2. Do not use CH4."
"FCR",50,9,2025-08-11,2025-08-13,323,"Vial sampled multiple times. If dups don't match, discard this one."
"BVR",50,0.1,2025-08-18,2025-08-19,378,"Sampled twice due to AOC error"
"BVR",50,5,2025-08-18,2025-08-20,127,"Sampled twice due to AOC error"
"FCR",50,3.8,2025-08-18,2025-08-20,223,"Sampled twice due to AOC error"
"FCR",50,0.1,2025-08-18,2025-08-20,273,"Sampled twice due to AOC error"
"FCR",200,0.1,2025-08-18,2025-08-20,94,"Poorly crimped- not air tight"
"FCR",200,0.1,2025-08-18,2025-08-20,271,"Poorly crimped- not air tight and bubble in vial"
"FCR",1.1,0.1,2025-08-18,2025-08-21,220,"Sampled twice due to AOC error"
"FCR",1.1,0.1,2025-08-18,2025-08-21,180,"Sampled twice due to AOC error"
"BVR",50,0.1,2025-08-18,2025-08-21,268,"Sampled twice due to AOC error"
"BVR",50,3,2025-08-18,2025-08-21,299,"Sampled twice due to AOC error"
"FCR",50,1.6,2025-08-25,2025-08-26,57,"Vial sampled twice due to AOC error"
"BVR",50,0.1,2025-09-01,2025-09-03,208,"Resampled due to AOC error"
"FCR",1.1,0.1,2025-09-01,2025-09-03,194,"Resampled due to AOC error"
"FCR",1.1,0.1,2025-09-08,2025-09-10,375,"Reinjection. Use CO2. Do not use CH4. Integration still messy- if dups don't match, discard this one."
"FCR",50,0.1,2025-09-08,2025-09-10,186,"Reinjection. Use CO2. Do not use CH4. Resampled multiple times- if dups don't match, discard this one."
"BVR",50,3,2025-09-15,2025-09-17,268,"resampled due to AOC error"
"FCR",50,8,2025-09-15,2025-09-18,309,"resampled due to AOC error"
"FCR",50,3.8,2025-09-22,2025-09-23,318,"resampled due to AOC error"
"FCR",100,0.1,2025-09-22,2025-09-24,389,"Rerun. Use CO2. Do not use CH4."
"FCR",1.1,0.1,2025-10-06,2025-10-07,327,"partial interference but tried to edit- if CO2 dups don't match discard this one."
"FCR",50,0.1,2025-10-13,2025-10-15,82,"resampled due to AOC error"
"FCR",50,3.8,2025-10-13,2025-10-15,414,"Leaked when creating headspace- estimated 2ml. If dups don't match discard this one."
"CCR",50,1.5,2025-10-14,2025-10-16,338,"Reinjection. Use CO2. Do not use CH4."
"FCR",100,0.1,2025-11-03,2025-11-06,335,"resampled due to AOC error"
"CCR",101,0.1,2025-12-02,2025-12-04,33,"Partial CO2 interference. If dups don't match for CO2 discard this one."
NA,NA,NA,NA,2025-07-09,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-07-09,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-07-09,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-07-09,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-07-09,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-07-09,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-07-09,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-09-04,NA,"Resampled due to AOC error"
NA,NA,NA,NA,2025-09-04,NA,"Resampled due to AOC error"
NA,NA,NA,NA,2025-09-05,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-09-05,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-09-05,NA,"Reinjection. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-09-30,NA,"Tried to reintegrate. If dups don't match discard this one."
NA,NA,NA,NA,2025-09-30,NA,"Leaked during headspace creation- tried to estimate volume. If dups don't match, discard this one."
NA,NA,NA,NA,2025-10-28,NA,"resampled due to AOC error"
NA,NA,NA,NA,2025-10-28,NA,"resampled due to AOC error"
NA,NA,NA,NA,2025-10-28,NA,"resampled due to AOC error"
NA,NA,NA,NA,2025-10-29,NA,"resampled due to AOC error"
NA,NA,NA,NA,2025-11-11,NA,"Borderline interference. If dups don't match exclude this one."
NA,NA,NA,NA,2025-06-19,NA,"Rerun. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-06-27,NA,"Rerun. Use CO2. Do not use CH4."
NA,NA,NA,NA,2025-06-27,NA," rerun"
