"Reservoir","Site","Depth_m","field_date","lab_date","field_vial_number","notes"
"FCR",50,5,2024-09-09,2024-09-10,285,"Integrated CO2 on top of an interfering peak- not entirely accurate. CH4 is ok. Do not use CO2. Use CH4"
"FCR",50,5,2024-09-09,2024-09-11,285,"Re-sample of 285- no interference, but different headspace pressure. Use CO2. Do not use CH4"
"FCR",50,1.6,2024-09-17,2024-09-18,302,"Do not use CO2. Use CH4."
"FCR",50,8,2024-09-17,2024-09-18,274,"Do not use CO2. Use CH4."
"FCR",50,1.6,2024-09-17,2024-09-19,302,"Use CO2. Do not use CH4."
"FCR",50,8,2024-09-17,2024-09-19,274,"Use CO2. Do not use CH4."
"FCR",50,9,2024-09-23,2024-09-24,318,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"BVR",50,0.1,2024-09-23,2024-09-24,191,"Interference with CO2- don't use. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,9,2024-09-23,2024-09-24,321,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"FCR",100,0.1,2024-09-23,2024-09-24,400,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,3.8,2024-09-23,2024-09-24,385,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"BVR",50,9,2024-09-23,2024-09-24,147,"Interference with CO2- don't use. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,0.1,2024-09-23,2024-09-24,405,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"BVR",50,3,2024-09-23,2024-09-24,151,"Interference with CO2- tried to reintegrate. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,9,2024-09-23,2024-09-25,318,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,0.1,2024-09-23,2024-09-25,191,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,9,2024-09-23,2024-09-25,321,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",100,0.1,2024-09-23,2024-09-25,400,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,3.8,2024-09-23,2024-09-25,385,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,6,2024-09-23,2024-09-25,208,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,3.8,2024-09-23,2024-09-25,44,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,9,2024-09-23,2024-09-25,147,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,0.1,2024-09-23,2024-09-25,405,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"BVR",50,3,2024-09-23,2024-09-25,151,"No interference, but different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,8,2024-10-07,2024-10-08,123,"Interference with CO2 peak- attempted to estimate true peak area in column AI. CH4 is ok. Do not use CO2. Use CH4"
"FCR",1.1,0.1,2024-10-07,2024-10-08,159,"Integrated CO2 on top of interfering peak, but probably ok."
"FCR",50,1.6,2024-10-07,2024-10-08,197,"Interference with CO2 peak. CH4 is ok. Do not use CO2. Use CH4"
"BVR",50,3,2024-10-07,2024-10-08,186,"Lost water during headspace creation- tried to eyeball 2mL headspace."
"FCR",50,8,2024-10-07,2024-10-09,123,"No interference, but different headspace pressure. Use CO2. Do not use CH4"
"FCR",50,1.6,2024-10-07,2024-10-09,197,"No interference, but different headspace pressure. Use CO2. Do not use CH4"
"FCR",50,1.6,2024-10-15,2024-10-16,119,"Interference with CO2- tried to salvage. CH4 is ok. Do not use CO2. Use CH4."
"FCR",1.1,0.1,2024-10-15,2024-10-16,221,"Interference with CO2- tried to estimate full peak area in column AJ. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,1.6,2024-10-15,2024-10-17,119,"No interference but different headspace pressure. Use CO2. Do not use CH4."
"FCR",1.1,0.1,2024-10-15,2024-10-17,221,"No interference but different headspace pressure. Use CO2. Do not use CH4."
"FCR",100,0.1,2024-11-19,2024-11-20,147,"large air bubble in sample"
"FCR",50,5,2024-12-03,2024-12-04,177,"CO2 is bad- peak interference. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,8,2024-12-03,2024-12-04,215,"Very end of CO2 peak was cut off. If dup's don't match, discard this one."
"FCR",50,3.8,2024-12-03,2024-12-04,191,"CO2 is bad- peak interference. CH4 is ok. Do not use CO2. Use CH4."
"FCR",50,1.6,2024-12-03,2024-12-04,119,"CO2 is bad- peak interference. CH4 is ok. Do not use CO2. Use CH4."
"FCR",1.1,0.1,2024-12-03,2024-12-04,123,"large bubble in sample"
"FCR",50,5,2024-12-03,2024-12-05,177,"reinjection- different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,3.8,2024-12-03,2024-12-05,191,"reinjection- different headspace pressure. Use CO2. Do not use CH4."
"FCR",50,1.6,2024-12-03,2024-12-05,119,"reinjection- different headspace pressure. Use CO2. Do not use CH4."
