2022 ranged CAL Measured headspace CH4  in ppm from GC in ppm,2022 CAL Measured headspace CO2 in ppm from GC in ppm,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Data#,Data Filename,Date Acquired,Sample Name,Sample Type,Level#,Ret. Time,Area,Conc. (ppt),Std. Conc.,Cal. Point,Accuracy[%],Deviation,,Analyst code,Note,Date/Time Sampled,Reservoir,Site,Sample ID,Rep,Water Vial
50.84,725,53,BRN10may22_005.gcd,5/10/22 12:54,137,Unknown,0,6.027,"22,722",0.041,-----,-----,-----,-----,,53,BRN10may22_005.gcd,5/10/22 12:54,137,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,53,BRN10may22_005.gcd,5/10/22 12:54,137,Unknown,0,12.198,"4,013",0.776,-----,-----,-----,-----,,1,,,BVR,,,,Water 
82.86,829,54,BRN10may22_006.gcd,5/10/22 13:24,195,Unknown,0,6.024,"36,385",0.069,-----,-----,-----,-----,,54,BRN10may22_006.gcd,5/10/22 13:24,195,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,54,BRN10may22_006.gcd,5/10/22 13:24,195,Unknown,0,12.193,"4,514",0.882,-----,-----,-----,-----,,1,,,BVR,,,,Water 
1.49,11921,55,BRN10may22_007.gcd,5/10/22 13:55,48,Unknown,0,6.051,"2,689",0.001,-----,-----,-----,-----,,55,BRN10may22_007.gcd,5/10/22 13:55,48,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,55,BRN10may22_007.gcd,5/10/22 13:55,48,Unknown,0,12.14,"58,599",12.225,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
76.51,694,56,BRN10may22_008.gcd,5/10/22 14:25,26,Unknown,0,6.026,"33,677",0.063,-----,-----,-----,-----,,56,BRN10may22_008.gcd,5/10/22 14:25,26,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,56,BRN10may22_008.gcd,5/10/22 14:25,26,Unknown,0,12.202,"3,862",0.744,-----,-----,-----,-----,,1,,,BVR,,,,Water
1.93,12243,57,BRN10may22_009.gcd,5/10/22 14:56,157,Unknown,0,6.048,"2,953",0.001,-----,-----,-----,-----,,57,BRN10may22_009.gcd,5/10/22 14:56,157,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,57,BRN10may22_009.gcd,5/10/22 14:56,157,Unknown,0,12.128,"60,181",12.552,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
10.19,5154,58,BRN10may22_010.gcd,5/10/22 15:27,21,Unknown,0,6.025,"6,657",0.009,-----,-----,-----,-----,,58,BRN10may22_010.gcd,5/10/22 15:27,21,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,58,BRN10may22_010.gcd,5/10/22 15:27,21,Unknown,0,12.166,"25,515",5.324,-----,-----,-----,-----,,1,,,BVR,,,,Water
17.95,8897,59,BRN10may22_011.gcd,5/10/22 15:57,33,Unknown,0,6.021,"9,135",0.014,-----,-----,-----,-----,,59,BRN10may22_011.gcd,5/10/22 15:57,33,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,59,BRN10may22_011.gcd,5/10/22 15:57,33,Unknown,0,12.143,"43,781",9.148,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
102.65,1705,60,BRN10may22_012.gcd,5/10/22 16:28,27,Unknown,0,6.025,"44,841",0.086,-----,-----,-----,-----,,60,BRN10may22_012.gcd,5/10/22 16:28,27,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,60,BRN10may22_012.gcd,5/10/22 16:28,27,Unknown,0,12.195,"8,761",1.785,-----,-----,-----,-----,,1,,,BVR,,,,Water
100.01,645,61,BRN10may22_013.gcd,5/10/22 16:58,29,Unknown,0,6.025,"43,712",0.083,-----,-----,-----,-----,,61,BRN10may22_013.gcd,5/10/22 16:58,29,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,61,BRN10may22_013.gcd,5/10/22 16:58,29,Unknown,0,12.201,"3,623",0.693,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
61.62,931,62,BRN10may22_014.gcd,5/10/22 17:29,143,Unknown,0,6.019,"27,323",0.05,-----,-----,-----,-----,,62,BRN10may22_014.gcd,5/10/22 17:29,143,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,62,BRN10may22_014.gcd,5/10/22 17:29,143,Unknown,0,12.176,"5,010",0.988,-----,-----,-----,-----,,1,,,BVR,,,,Water
46.76,3775,63,BRN10may22_015.gcd,5/10/22 17:59,178,Unknown,0,6.027,"20,982",0.038,-----,-----,-----,-----,,63,BRN10may22_015.gcd,5/10/22 17:59,178,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,63,BRN10may22_015.gcd,5/10/22 17:59,178,Unknown,0,12.178,"18,809",3.911,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
27.41,11906,64,BRN10may22_016.gcd,5/10/22 18:30,85,Unknown,0,6.022,"12,730",0.021,-----,-----,-----,-----,,64,BRN10may22_016.gcd,5/10/22 18:30,85,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,64,BRN10may22_016.gcd,5/10/22 18:30,85,Unknown,0,12.131,"58,527",12.211,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.42,1574,65,BRN10may22_017.gcd,5/10/22 19:01,69,Unknown,0,6.064,"1,979",-0.001,-----,-----,-----,-----,,65,BRN10may22_017.gcd,5/10/22 19:01,69,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,65,BRN10may22_017.gcd,5/10/22 19:01,69,Unknown,0,12.195,"8,123",1.649,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
104.23,910,66,BRN10may22_018.gcd,5/10/22 19:31,198,Unknown,0,6.026,"45,513",0.087,-----,-----,-----,-----,,66,BRN10may22_018.gcd,5/10/22 19:31,198,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,66,BRN10may22_018.gcd,5/10/22 19:31,198,Unknown,0,12.207,"4,905",0.966,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
722.44,5014,67,BRN10may22_019.gcd,5/10/22 20:02,71,Unknown,0,6.015,"312,076",0.626,-----,-----,-----,-----,,67,BRN10may22_019.gcd,5/10/22 20:02,71,Unknown,0,5.967,"2,255",0.703,-----,-----,-----,-----,,67,BRN10may22_019.gcd,5/10/22 20:02,71,Unknown,0,12.175,"24,836",5.181,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
0.68,1492,68,BRN10may22_020.gcd,5/10/22 20:32,213,Unknown,0,6.06,"2,164",0,-----,-----,-----,-----,,68,BRN10may22_020.gcd,5/10/22 20:32,213,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,68,BRN10may22_020.gcd,5/10/22 20:32,213,Unknown,0,12.191,"7,726",1.565,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
9.11,5680,69,BRN10may22_021.gcd,5/10/22 21:03,177,Unknown,0,6.039,"6,259",0.008,-----,-----,-----,-----,,69,BRN10may22_021.gcd,5/10/22 21:03,177,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,69,BRN10may22_021.gcd,5/10/22 21:03,177,Unknown,0,12.179,"28,079",5.863,-----,-----,-----,-----,,1,,,BVR,,,,Water
116.18,972,70,BRN10may22_022.gcd,5/10/22 21:33,159,Unknown,0,6.026,"50,620",0.097,-----,-----,-----,-----,,70,BRN10may22_022.gcd,5/10/22 21:33,159,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,70,BRN10may22_022.gcd,5/10/22 21:33,159,Unknown,0,12.204,"5,208",1.03,-----,-----,-----,-----,,1,,,BVR,,,,Water
24.35,11873,71,BRN10may22_023.gcd,5/10/22 22:04,119,Unknown,0,6.033,"11,425",0.018,-----,-----,-----,-----,,71,BRN10may22_023.gcd,5/10/22 22:04,119,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,71,BRN10may22_023.gcd,5/10/22 22:04,119,Unknown,0,12.142,"58,364",12.177,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
66.27,793,72,BRN10may22_024.gcd,5/10/22 22:35,190,Unknown,0,6.025,"29,305",0.054,-----,-----,-----,-----,,72,BRN10may22_024.gcd,5/10/22 22:35,190,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,72,BRN10may22_024.gcd,5/10/22 22:35,190,Unknown,0,12.189,"4,342",0.846,-----,-----,-----,-----,,1,,,BVR,,,,Water
2855.72,12249,73,BRN10may22_025.gcd,5/10/22 23:05,73,Unknown,0,6.011,"1,377,504",2.782,-----,-----,-----,-----,,73,BRN10may22_025.gcd,5/10/22 23:05,73,Unknown,0,5.962,"10,648",2.762,-----,-----,-----,-----,,73,BRN10may22_025.gcd,5/10/22 23:05,73,Unknown,0,12.115,"60,208",12.558,-----,-----,-----,-----,,1,,,BVR,,,,Water
53.25,4279,74,BRN10may22_026.gcd,5/10/22 23:36,121,Unknown,0,6.019,"23,749",0.043,-----,-----,-----,-----,,74,BRN10may22_026.gcd,5/10/22 23:36,121,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,74,BRN10may22_026.gcd,5/10/22 23:36,121,Unknown,0,12.165,"21,261",4.428,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
111.19,863,75,BRN10may22_027.gcd,5/11/22 0:06,166,Unknown,0,6.016,"48,489",0.093,-----,-----,-----,-----,,75,BRN10may22_027.gcd,5/11/22 0:06,166,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,75,BRN10may22_027.gcd,5/11/22 0:06,166,Unknown,0,12.18,"4,679",0.917,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
105.12,1172,76,BRN10may22_028.gcd,5/11/22 0:37,79,Unknown,0,6.027,"45,894",0.088,-----,-----,-----,-----,,76,BRN10may22_028.gcd,5/11/22 0:37,79,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,76,BRN10may22_028.gcd,5/11/22 0:37,79,Unknown,0,12.181,"6,175",1.235,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
110.38,10941,77,BRN10may22_029.gcd,5/11/22 1:07,80,Unknown,0,6.016,"48,140",0.092,-----,-----,-----,-----,,77,BRN10may22_029.gcd,5/11/22 1:07,80,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,77,BRN10may22_029.gcd,5/11/22 1:07,80,Unknown,0,12.2,"53,793",11.23,-----,-----,-----,-----,,2,CO2 peak is shouldered on water plateau Vial number not recorded in field sheets ,,BVR,,,,
752.05,5350,78,BRN10may22_030.gcd,5/11/22 1:38,216,Unknown,0,6.023,"324,967",0.652,-----,-----,-----,-----,,78,BRN10may22_030.gcd,5/11/22 1:38,216,Unknown,0,5.975,"2,913",0.865,-----,-----,-----,-----,,78,BRN10may22_030.gcd,5/11/22 1:38,216,Unknown,0,12.171,"26,469",5.525,-----,-----,-----,-----,,1,Vial number not recorded in field sheets ,,BVR,,,,
87.91,1049,79,BRN10may22_031.gcd,5/11/22 2:09,129,Unknown,0,6.021,"38,544",0.073,-----,-----,-----,-----,,79,BRN10may22_031.gcd,5/11/22 2:09,129,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,79,BRN10may22_031.gcd,5/11/22 2:09,129,Unknown,0,12.189,"5,581",1.109,-----,-----,-----,-----,,1,,,BVR,,,,Water
66.25,495,80,BRN10may22_032.gcd,5/11/22 2:39,22,Unknown,0,6.027,"29,298",0.054,-----,-----,-----,-----,,80,BRN10may22_032.gcd,5/11/22 2:39,22,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,80,BRN10may22_032.gcd,5/11/22 2:39,22,Unknown,0,12.196,"2,897",0.538,-----,-----,-----,-----,,1,,,BVR,,,,Water
-0.04,339,81,BRN10may22_033.gcd,5/11/22 3:10,209,Unknown,0,6.076,"1,643",-0.001,-----,-----,-----,-----,,81,BRN10may22_033.gcd,5/11/22 3:10,209,Unknown,0,-----,-----,-----,-----,-----,-----,-----,,81,BRN10may22_033.gcd,5/11/22 3:10,209,Unknown,0,12.233,"2,140",0.377,-----,-----,-----,-----,,1,,2022-05-09 9:43,BVR,1,6,2,
